age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,poutcome,y
58,1579,27214,13301,44396,-364,25130,37967,13020,5,13766,355,1,-1,36959,0
44,7597,27214,23202,44396,0,25130,37967,13020,5,13766,225,2,-1,36959,0
55,7597,5207,23202,44396,0,20081,37967,13020,5,13766,160,1,-1,36959,0
29,9458,12790,13301,44396,0,25130,37967,13020,5,13766,363,1,-1,36959,0
54,9732,27214,23202,44396,1291,25130,37967,13020,5,13766,266,1,-1,36959,0
48,9458,5207,13301,44396,-244,25130,37967,13020,5,13766,253,1,-1,36959,0
32,9458,27214,13301,44396,0,25130,37967,13020,5,13766,179,1,-1,36959,0
42,5171,12790,23202,44396,-76,25130,37967,13020,5,13766,787,1,-1,36959,0
24,7597,12790,23202,44396,-103,25130,7244,13020,5,13766,145,1,-1,36959,0
38,1487,12790,13301,44396,243,20081,7244,13020,5,13766,174,1,-1,36959,0
38,9458,12790,13301,44396,424,25130,37967,13020,5,13766,104,1,-1,36959,0
47,9732,27214,1857,44396,306,25130,37967,13020,5,13766,13,1,-1,36959,0
40,9732,12790,1857,44396,24,25130,37967,13020,5,13766,185,1,-1,36959,0
46,4154,27214,6851,44396,179,25130,37967,13020,5,13766,1778,1,-1,36959,0
32,5171,27214,13301,44396,0,25130,37967,13020,5,13766,138,1,-1,36959,0
53,7597,5207,23202,44396,989,25130,37967,13020,5,13766,812,1,-1,36959,0
57,9732,27214,6851,44396,249,25130,37967,13020,5,13766,164,1,-1,36959,0
33,4154,27214,23202,44396,790,25130,37967,13020,5,13766,391,1,-1,36959,0
49,9732,27214,1857,44396,154,25130,37967,13020,5,13766,357,1,-1,36959,0
51,9458,27214,13301,44396,6530,25130,37967,13020,5,13766,91,1,-1,36959,0
60,2264,27214,13301,44396,100,20081,37967,13020,5,13766,528,1,-1,36959,0
59,9458,5207,13301,44396,59,25130,37967,13020,5,13766,273,1,-1,36959,0
55,7597,27214,23202,44396,1205,25130,37967,13020,5,13766,158,2,-1,36959,0
35,9732,12790,23202,44396,12223,25130,7244,13020,5,13766,177,1,-1,36959,0
57,9732,27214,23202,44396,5935,25130,7244,13020,5,13766,258,1,-1,36959,0
31,4154,27214,23202,44396,25,25130,7244,13020,5,13766,172,1,-1,36959,0
54,9458,27214,23202,44396,282,25130,7244,13020,5,13766,154,1,-1,36959,0
55,9732,27214,6851,44396,23,25130,37967,13020,5,13766,291,1,-1,36959,0
43,7597,27214,23202,44396,1937,25130,37967,13020,5,13766,181,1,-1,36959,0
53,7597,27214,23202,44396,384,25130,37967,13020,5,13766,176,1,-1,36959,0
44,9732,27214,23202,44396,582,20081,7244,13020,5,13766,211,1,-1,36959,0
55,4154,5207,23202,44396,91,20081,37967,13020,5,13766,349,1,-1,36959,0
49,4154,5207,23202,44396,0,25130,7244,13020,5,13766,272,1,-1,36959,0
55,4154,5207,23202,815,1,25130,37967,13020,5,13766,208,1,-1,36959,0
45,5171,12790,23202,44396,206,25130,37967,13020,5,13766,193,1,-1,36959,0
47,4154,5207,23202,44396,164,20081,37967,13020,5,13766,212,1,-1,36959,0
42,7597,12790,23202,44396,690,25130,37967,13020,5,13766,20,1,-1,36959,0
59,5171,27214,23202,44396,2343,25130,37967,13020,5,13766,1042,1,-1,36959,1
46,1579,27214,13301,44396,137,25130,7244,13020,5,13766,246,1,-1,36959,0
51,9732,27214,6851,44396,173,25130,37967,13020,5,13766,529,2,-1,36959,0
56,5171,27214,23202,44396,45,20081,37967,13020,5,13766,1467,1,-1,36959,1
41,7597,27214,23202,44396,1270,25130,37967,13020,5,13766,1389,1,-1,36959,1
46,9458,5207,23202,44396,16,25130,7244,13020,5,13766,188,2,-1,36959,0
57,2264,27214,23202,44396,486,25130,37967,13020,5,13766,180,2,-1,36959,0
42,9458,12790,23202,44396,50,20081,37967,13020,5,13766,48,1,-1,36959,0
30,7597,27214,23202,44396,152,25130,7244,13020,5,13766,213,2,-1,36959,0
60,5171,27214,23202,44396,290,25130,37967,13020,5,13766,583,1,-1,36959,0
60,9732,27214,1857,44396,54,25130,37967,13020,5,13766,221,1,-1,36959,0
57,1487,5207,23202,44396,-37,20081,37967,13020,5,13766,173,1,-1,36959,0
36,9458,27214,13301,44396,101,25130,7244,13020,5,13766,426,1,-1,36959,0
55,9732,27214,23202,44396,383,20081,37967,13020,5,13766,287,1,-1,36959,0
60,2264,27214,13301,44396,81,25130,37967,13020,5,13766,101,1,-1,36959,0
39,7597,27214,23202,44396,0,25130,37967,13020,5,13766,203,1,-1,36959,0
46,9458,27214,13301,44396,229,25130,37967,13020,5,13766,197,1,-1,36959,0
44,9732,27214,23202,44396,-674,25130,37967,13020,5,13766,257,1,-1,36959,0
53,9732,27214,6851,44396,90,20081,37967,13020,5,13766,124,1,-1,36959,0
52,9732,27214,6851,44396,128,25130,37967,13020,5,13766,229,1,-1,36959,0
59,9732,27214,6851,44396,179,25130,37967,13020,5,13766,55,3,-1,36959,0
27,7597,12790,13301,44396,0,25130,37967,13020,5,13766,400,1,-1,36959,0
44,9732,27214,23202,44396,54,25130,37967,13020,5,13766,197,1,-1,36959,0
47,7597,27214,13301,44396,151,25130,37967,13020,5,13766,190,1,-1,36959,0
34,5171,27214,23202,44396,61,20081,7244,13020,5,13766,21,1,-1,36959,0
59,2264,12790,23202,44396,30,25130,37967,13020,5,13766,514,1,-1,36959,0
45,9458,27214,13301,44396,523,25130,37967,13020,5,13766,849,2,-1,36959,0
29,4154,5207,23202,44396,31,25130,37967,13020,5,13766,194,1,-1,36959,0
46,7597,5207,23202,44396,79,20081,37967,13020,5,13766,144,1,-1,36959,0
56,1579,27214,6851,44396,-34,25130,7244,13020,5,13766,212,2,-1,36959,0
36,9732,27214,6851,44396,448,25130,37967,13020,5,13766,286,1,-1,36959,0
59,2264,5207,6851,44396,81,25130,37967,13020,5,13766,107,1,-1,36959,0
44,9732,27214,23202,44396,144,25130,37967,13020,5,13766,247,2,-1,36959,0
41,5171,27214,23202,44396,351,25130,37967,13020,5,13766,518,1,-1,36959,0
33,9458,12790,13301,44396,-67,25130,37967,13020,5,13766,364,1,-1,36959,0
59,9458,5207,13301,44396,262,20081,37967,13020,5,13766,178,1,-1,36959,0
57,7597,27214,6851,44396,0,20081,37967,13020,5,13766,98,1,-1,36959,0
56,7597,5207,1857,44396,56,25130,37967,13020,5,13766,439,1,-1,36959,0
51,9732,27214,23202,44396,26,25130,37967,13020,5,13766,79,1,-1,36959,0
34,5171,27214,1857,44396,3,25130,37967,13020,5,13766,120,3,-1,36959,0
43,4154,27214,23202,44396,41,25130,7244,13020,5,13766,127,2,-1,36959,0
52,7597,27214,13301,44396,7,20081,7244,13020,5,13766,175,1,-1,36959,0
33,7597,12790,23202,44396,105,25130,37967,13020,5,13766,262,2,-1,36959,0
29,5171,12790,23202,44396,818,25130,7244,13020,5,13766,61,1,-1,36959,0
34,4154,27214,23202,44396,-16,25130,7244,13020,5,13766,78,1,-1,36959,0
31,9732,27214,23202,44396,0,25130,37967,13020,5,13766,143,1,-1,36959,0
55,4154,27214,23202,44396,2476,25130,37967,13020,5,13766,579,1,-1,36959,1
55,9458,27214,1857,44396,1185,20081,37967,13020,5,13766,677,1,-1,36959,0
32,5171,12790,23202,44396,217,25130,37967,13020,5,13766,345,1,-1,36959,0
38,7597,12790,23202,44396,1685,25130,37967,13020,5,13766,185,1,-1,36959,0
55,5171,12790,23202,44396,802,25130,7244,13020,5,13766,100,2,-1,36959,0
28,1303,12790,13301,44396,0,25130,37967,13020,5,13766,125,2,-1,36959,0
23,9732,27214,23202,44396,94,25130,37967,13020,5,13766,193,1,-1,36959,0
32,7597,12790,23202,44396,0,25130,37967,13020,5,13766,136,1,-1,36959,0
43,4154,12790,1857,44396,0,20081,37967,13020,5,13766,73,1,-1,36959,0
32,9732,27214,23202,44396,517,25130,37967,13020,5,13766,528,1,-1,36959,0
46,9732,27214,23202,44396,265,25130,37967,13020,5,13766,541,1,-1,36959,0
53,1240,5207,6851,44396,947,25130,37967,13020,5,13766,163,1,-1,36959,0
34,1579,12790,23202,44396,3,25130,37967,13020,5,13766,301,1,-1,36959,0
57,1303,27214,13301,44396,42,20081,37967,13020,5,13766,46,1,-1,36959,0
37,9732,27214,23202,44396,37,25130,37967,13020,5,13766,204,1,-1,36959,0
59,9732,27214,23202,44396,57,25130,37967,13020,5,13766,98,1,-1,36959,0
33,4154,27214,23202,44396,22,25130,37967,13020,5,13766,71,1,-1,36959,0
56,9732,5207,6851,44396,8,25130,37967,13020,5,13766,157,2,-1,36959,0
48,1303,27214,23202,44396,293,25130,37967,13020,5,13766,243,1,-1,36959,0
43,4154,27214,6851,44396,3,25130,37967,13020,5,13766,186,2,-1,36959,0
54,9732,27214,6851,44396,348,25130,37967,13020,5,13766,579,2,-1,36959,0
51,9732,27214,1857,44396,-19,25130,37967,13020,5,13766,163,2,-1,36959,0
26,938,12790,23202,44396,0,25130,37967,13020,5,13766,610,2,-1,36959,0
40,9458,27214,13301,44396,-4,25130,37967,13020,5,13766,2033,1,-1,36959,0
39,9458,27214,23202,44396,18,25130,37967,13020,5,13766,85,1,-1,36959,0
50,7597,27214,6851,44396,139,20081,37967,13020,5,13766,114,2,-1,36959,0
41,4154,27214,23202,44396,0,25130,37967,13020,5,13766,114,2,-1,36959,0
51,9732,27214,1857,44396,1883,25130,37967,13020,5,13766,57,1,-1,36959,0
60,2264,5207,23202,44396,216,25130,37967,13020,5,13766,238,1,-1,36959,0
52,9732,27214,23202,44396,782,25130,37967,13020,5,13766,93,3,-1,36959,0
48,9732,27214,23202,44396,904,25130,37967,13020,5,13766,128,2,-1,36959,0
48,4154,27214,1857,44396,1705,25130,37967,13020,5,13766,107,1,-1,36959,0
39,7597,12790,13301,44396,47,25130,37967,13020,5,13766,181,1,-1,36959,0
47,4154,12790,23202,44396,176,25130,37967,13020,5,13766,303,2,-1,36959,0
40,9732,27214,23202,44396,1225,25130,37967,13020,5,13766,558,5,-1,36959,0
45,7597,27214,23202,44396,86,25130,37967,13020,5,13766,270,1,-1,36959,0
26,5171,12790,23202,44396,82,25130,37967,13020,5,13766,228,1,-1,36959,0
52,9458,27214,13301,44396,271,25130,37967,13020,5,13766,99,1,-1,36959,0
54,7597,27214,23202,44396,1378,25130,37967,13020,5,13766,240,1,-1,36959,0
54,5171,27214,13301,44396,184,20081,37967,13020,5,13766,673,2,-1,36959,1
50,9732,27214,6851,44396,0,20081,37967,13020,5,13766,233,3,-1,36959,0
35,9732,27214,23202,44396,0,25130,37967,13020,5,13766,1056,1,-1,36959,0
44,4154,27214,23202,44396,1357,25130,7244,13020,5,13766,250,1,-1,36959,0
53,1487,27214,1857,44396,19,25130,37967,13020,5,13766,252,1,-1,36959,0
35,2264,12790,6851,44396,434,20081,37967,13020,5,13766,138,1,-1,36959,0
60,5171,5207,23202,44396,92,25130,37967,13020,5,13766,130,1,-1,36959,0
53,5171,5207,23202,44396,1151,25130,37967,13020,5,13766,412,1,-1,36959,0
48,1303,27214,23202,44396,41,25130,37967,13020,5,13766,179,2,-1,36959,0
34,7597,27214,23202,44396,51,25130,37967,13020,5,13766,19,2,-1,36959,0
54,4154,27214,23202,44396,214,25130,37967,13020,5,13766,458,2,-1,36959,0
51,9458,27214,23202,44396,1161,25130,37967,13020,5,13766,717,1,-1,36959,0
31,4154,27214,13301,44396,37,25130,37967,13020,5,13766,313,1,-1,36959,0
35,7597,5207,23202,44396,787,25130,37967,13020,5,13766,683,2,-1,36959,0
35,4154,27214,23202,44396,59,25130,37967,13020,5,13766,1077,1,-1,36959,0
38,7597,27214,23202,44396,253,25130,37967,13020,5,13766,416,1,-1,36959,0
36,5171,27214,13301,44396,211,25130,37967,13020,5,13766,146,2,-1,36959,0
58,2264,27214,6851,44396,235,25130,37967,13020,5,13766,167,1,-1,36959,0
40,4154,5207,1857,44396,4384,25130,37967,13020,5,13766,315,1,-1,36959,0
54,9458,27214,23202,44396,4080,20081,37967,13020,5,13766,140,1,-1,36959,0
34,9732,12790,23202,44396,53,25130,7244,13020,5,13766,346,1,-1,36959,0
31,9458,12790,13301,44396,0,25130,37967,13020,5,13766,562,1,-1,36959,0
51,2264,27214,23202,44396,2127,25130,37967,13020,5,13766,172,1,-1,36959,0
33,9458,27214,13301,44396,377,25130,37967,13020,5,13766,217,1,-1,36959,0
55,9458,27214,13301,44396,73,25130,37967,13020,5,13766,142,2,-1,36959,0
42,5171,27214,23202,44396,445,25130,37967,13020,5,13766,67,1,-1,36959,0
34,9732,27214,23202,44396,243,25130,37967,13020,5,13766,291,1,-1,36959,0
33,9732,12790,23202,44396,307,25130,37967,13020,5,13766,309,2,-1,36959,0
38,4154,27214,23202,44396,155,25130,37967,13020,5,13766,248,1,-1,36959,0
50,7597,5207,13301,44396,173,20081,7244,13020,5,13766,98,1,-1,36959,0
43,9458,27214,13301,44396,400,25130,37967,13020,5,13766,256,1,-1,36959,0
61,9732,5207,6851,44396,1428,25130,37967,13020,5,13766,82,2,-1,36959,0
47,5171,27214,23202,44396,219,25130,37967,13020,5,13766,577,1,-1,36959,0
48,1579,27214,13301,44396,7,25130,37967,13020,5,13766,286,1,-1,36959,0
44,9732,27214,23202,44396,575,25130,37967,13020,5,13766,477,1,-1,36959,0
35,938,12790,1857,44396,298,25130,37967,13020,5,13766,611,2,-1,36959,0
35,4154,27214,23202,44396,0,25130,37967,13020,5,13766,471,1,-1,36959,0
50,4154,27214,23202,44396,5699,25130,37967,13020,5,13766,381,2,-1,36959,0
41,9458,27214,13301,44396,176,25130,7244,13020,5,13766,42,1,-1,36959,0
41,9458,27214,13301,44396,517,25130,37967,13020,5,13766,251,1,-1,36959,0
39,4154,12790,1857,44396,257,25130,37967,13020,5,13766,408,1,-1,36959,0
42,2264,27214,23202,44396,56,25130,37967,13020,5,13766,215,1,-1,36959,0
38,9732,27214,23202,44396,-390,25130,37967,13020,5,13766,287,1,-1,36959,0
53,2264,27214,23202,44396,330,25130,37967,13020,5,13766,216,2,-1,36959,0
59,1240,5207,6851,44396,195,20081,37967,13020,5,13766,366,2,-1,36959,0
36,4154,27214,23202,44396,301,25130,37967,13020,5,13766,210,1,-1,36959,0
54,9732,27214,6851,44396,-41,25130,37967,13020,5,13766,288,1,-1,36959,0
40,7597,27214,13301,44396,483,25130,37967,13020,5,13766,168,1,-1,36959,0
47,288,27214,1857,44396,28,20081,37967,13020,5,13766,338,2,-1,36959,0
53,1303,27214,1857,44396,13,20081,37967,13020,5,13766,410,3,-1,36959,0
46,1240,27214,6851,44396,965,20081,37967,13020,5,13766,177,1,-1,36959,0
39,9458,27214,13301,44396,378,25130,7244,13020,5,13766,127,2,-1,36959,0
40,1303,27214,23202,44396,219,25130,37967,13020,5,13766,357,1,-1,36959,0
28,9732,27214,6851,44396,324,25130,37967,13020,5,13766,175,1,-1,36959,0
35,1487,5207,23202,44396,-69,25130,37967,13020,5,13766,300,1,-1,36959,0
55,2264,27214,23202,44396,0,20081,7244,13020,5,13766,136,1,-1,36959,0
43,7597,5207,1857,44396,205,25130,37967,13020,5,13766,1419,1,-1,36959,0
48,9732,27214,6851,44396,278,25130,37967,13020,5,13766,125,2,-1,36959,0
58,9458,27214,1857,44396,1065,25130,37967,13020,5,13766,213,3,-1,36959,0
33,9458,12790,13301,44396,34,25130,37967,13020,5,13766,27,1,-1,36959,0
36,9732,27214,1857,44396,1033,20081,37967,13020,5,13766,238,2,-1,36959,0
53,4154,5207,23202,44396,1467,25130,37967,13020,5,13766,124,1,-1,36959,0
47,9732,27214,6851,44396,-12,25130,37967,13020,5,13766,18,1,-1,36959,0
31,4154,27214,23202,44396,388,25130,37967,13020,5,13766,730,2,-1,36959,0
57,1487,27214,23202,44396,294,25130,37967,13020,5,13766,746,2,-1,36959,0
53,9732,27214,1857,44396,1827,20081,37967,13020,5,13766,121,1,-1,36959,0
55,9732,27214,6851,44396,627,25130,37967,13020,5,13766,247,1,-1,36959,0
45,9732,27214,6851,44396,25,25130,37967,13020,5,13766,40,1,-1,36959,0
53,5171,5207,23202,44396,315,25130,37967,13020,5,13766,181,2,-1,36959,0
37,9732,27214,6851,44396,0,25130,37967,13020,5,13766,79,1,-1,36959,0
44,5171,5207,23202,44396,66,25130,37967,13020,5,13766,206,1,-1,36959,0
49,9732,5207,6851,44396,-9,25130,7244,13020,5,13766,389,1,-1,36959,0
46,7597,27214,23202,44396,349,25130,7244,13020,5,13766,127,1,-1,36959,0
43,1487,27214,1857,44396,100,25130,37967,13020,5,13766,702,1,-1,36959,0
38,5171,27214,23202,44396,0,20081,37967,13020,5,13766,151,1,-1,36959,0
43,7597,27214,23202,44396,434,25130,37967,13020,5,13766,117,1,-1,36959,0
49,9458,27214,13301,44396,3237,25130,37967,13020,5,13766,232,3,-1,36959,0
42,9458,27214,1857,44396,275,20081,37967,13020,5,13766,408,2,-1,36959,0
22,9732,12790,23202,44396,0,25130,37967,13020,5,13766,179,2,-1,36959,0
40,9458,27214,13301,44396,207,25130,37967,13020,5,13766,39,1,-1,36959,0
39,9732,27214,23202,44396,483,25130,37967,13020,5,13766,282,1,-1,36959,0
51,4154,27214,23202,44396,2248,25130,37967,13020,5,13766,714,2,-1,36959,0
49,5171,27214,23202,44396,428,25130,37967,13020,5,13766,50,1,-1,36959,0
53,9732,27214,23202,44396,0,25130,7244,13020,5,13766,181,1,-1,36959,0
34,4154,12790,23202,44396,0,25130,37967,13020,5,13766,142,1,-1,36959,0
33,7597,5207,23202,44396,140,25130,37967,13020,5,13766,227,1,-1,36959,0
50,9458,12790,13301,44396,297,25130,37967,13020,5,13766,119,1,-1,36959,0
39,9732,27214,6851,44396,279,25130,37967,13020,5,13766,361,1,-1,36959,0
59,1487,5207,23202,44396,901,25130,37967,13020,5,13766,73,3,-1,36959,0
30,7597,12790,23202,44396,2573,25130,37967,13020,5,13766,67,2,-1,36959,0
36,4154,27214,23202,44396,143,25130,7244,13020,5,13766,350,1,-1,36959,0
40,9732,27214,23202,44396,475,25130,37967,13020,5,13766,332,2,-1,36959,0
53,9732,27214,23202,44396,70,25130,37967,13020,5,13766,611,2,-1,36959,0
34,9458,12790,13301,44396,318,25130,37967,13020,5,13766,113,2,-1,36959,0
37,7597,27214,23202,44396,275,25130,37967,13020,5,13766,132,1,-1,36959,0
42,9458,5207,13301,44396,742,25130,37967,13020,5,13766,58,3,-1,36959,0
41,1487,27214,6851,44396,236,25130,37967,13020,5,13766,151,1,-1,36959,0
30,938,12790,13301,44396,25,25130,37967,13020,5,13766,89,2,-1,36959,0
37,9458,12790,13301,44396,600,25130,37967,13020,5,13766,152,1,-1,36959,0
39,5171,5207,23202,44396,-349,25130,37967,13020,5,13766,611,2,-1,36959,0
41,9732,27214,6851,44396,183,25130,7244,13020,5,13766,110,2,-1,36959,0
40,9732,27214,6851,44396,0,25130,37967,13020,5,13766,463,1,-1,36959,0
42,9458,12790,13301,44396,0,25130,7244,13020,5,13766,562,2,-1,36959,1
40,9732,5207,6851,44396,0,25130,37967,13020,5,13766,962,1,-1,36959,0
57,7597,27214,23202,44396,1078,25130,37967,13020,5,13766,10,4,-1,36959,0
56,1487,5207,23202,44396,155,20081,37967,13020,5,13766,118,3,-1,36959,0
37,5171,27214,23202,44396,190,25130,37967,13020,5,13766,92,2,-1,36959,0
59,2264,27214,23202,44396,319,25130,37967,13020,5,13766,143,3,-1,36959,0
39,4154,5207,23202,44396,-185,25130,37967,13020,5,13766,189,3,-1,36959,0
49,4154,27214,23202,44396,47,20081,37967,13020,5,13766,234,2,-1,36959,0
38,4154,12790,23202,44396,570,25130,37967,13020,5,13766,75,2,-1,36959,0
36,1579,27214,13301,44396,19,20081,37967,13020,5,13766,189,2,-1,36959,0
50,9732,27214,6851,44396,61,25130,37967,13020,5,13766,621,3,-1,36959,0
41,5171,27214,23202,44396,-62,25130,7244,13020,5,13766,55,2,-1,36959,0
54,7597,27214,13301,44396,258,20081,37967,13020,5,13766,310,4,-1,36959,0
58,9732,27214,6851,44396,76,25130,37967,13020,5,13766,156,2,-1,36959,0
30,9732,12790,23202,44396,0,25130,37967,13020,5,13766,5,2,-1,36959,0
33,5171,12790,23202,44396,352,25130,37967,13020,5,13766,225,2,-1,36959,0
47,5171,27214,23202,44396,368,25130,37967,13020,5,13766,125,2,-1,36959,0
50,7597,12790,13301,44396,339,25130,37967,13020,5,13766,2,3,-1,36959,0
32,9732,27214,23202,44396,1331,25130,37967,13020,5,13766,286,2,-1,36959,0
40,1579,27214,23202,44396,672,25130,37967,13020,5,13766,164,2,-1,36959,0
37,9458,27214,13301,44396,58,25130,37967,13020,5,13766,98,2,-1,36959,0
54,7597,12790,1857,44396,447,25130,37967,13020,5,13766,742,2,-1,36959,0
24,938,12790,23202,44396,423,25130,37967,13020,5,13766,226,3,-1,36959,0
54,9458,27214,13301,44396,0,20081,37967,13020,5,13766,120,2,-1,36959,0
34,7597,27214,23202,44396,19,25130,37967,13020,5,13766,362,4,-1,36959,0
56,7597,5207,6851,44396,13,25130,37967,13020,5,13766,357,2,-1,36959,0
31,9732,12790,23202,44396,3,25130,37967,13020,5,13766,200,2,-1,36959,0
24,938,12790,23202,44396,82,25130,37967,13020,5,13766,204,2,-1,36959,0
42,9732,5207,6851,44396,28,25130,37967,13020,5,13766,126,3,-1,36959,0
57,7597,27214,23202,44396,792,25130,37967,13020,5,13766,65,2,-1,36959,0
42,9732,27214,1857,44396,408,25130,37967,13020,5,13766,107,2,-1,36959,0
51,5171,27214,23202,44396,531,25130,37967,13020,5,13766,267,2,-1,36959,0
57,2264,27214,23202,44396,211,25130,37967,13020,5,13766,248,2,-1,36959,0
36,4154,12790,23202,44396,62,25130,37967,13020,5,13766,215,2,-1,36959,0
53,4154,27214,1857,44396,257,25130,37967,13020,5,13766,209,2,-1,36959,0
50,7597,27214,23202,44396,1234,25130,37967,13020,5,13766,205,2,-1,36959,0
54,9458,27214,13301,44396,313,25130,37967,13020,5,13766,83,2,-1,36959,0
55,9732,27214,23202,44396,89,25130,37967,13020,5,13766,106,3,-1,36959,0
44,9732,27214,23202,44396,129,25130,7244,13020,5,13766,189,2,-1,36959,0
43,9458,27214,1857,44396,0,25130,37967,13020,5,13766,105,2,-1,36959,0
56,5171,27214,23202,44396,353,25130,37967,13020,5,13766,106,2,-1,36959,0
54,7597,27214,1857,44396,851,25130,37967,13020,5,13766,108,2,-1,36959,0
55,4154,5207,6851,44396,96,25130,7244,13020,5,13766,311,2,-1,36959,0
37,4154,5207,23202,44396,398,25130,7244,13020,5,13766,214,2,-1,36959,0
33,5171,12790,13301,44396,193,20081,37967,13020,5,13766,132,2,-1,36959,0
46,5171,27214,23202,44396,-358,25130,37967,13020,5,13766,358,2,-1,36959,0
36,9732,27214,23202,44396,539,25130,7244,13020,5,13766,453,2,-1,36959,0
51,7597,12790,23202,44396,0,25130,37967,13020,5,13766,364,2,-1,36959,0
40,2264,12790,6851,44396,0,20081,37967,13020,5,13766,136,2,-1,36959,0
42,9732,27214,23202,44396,490,25130,37967,13020,5,13766,386,2,-1,36959,0
51,9732,27214,23202,44396,0,25130,37967,13020,5,13766,173,2,-1,36959,0
49,9732,27214,1857,44396,403,25130,37967,13020,5,13766,241,2,-1,36959,0
48,9458,27214,23202,44396,161,25130,37967,13020,5,13766,224,3,-1,36959,0
32,7597,5207,13301,44396,2558,20081,37967,13020,5,13766,148,2,-1,36959,0
31,5171,12790,23202,44396,98,25130,37967,13020,5,13766,196,2,-1,36959,0
55,9458,12790,13301,44396,115,20081,37967,13020,5,13766,111,4,-1,36959,0
40,9732,12790,23202,44396,436,25130,37967,13020,5,13766,231,3,-1,36959,0
47,7597,27214,13301,44396,831,25130,37967,13020,5,13766,316,3,-1,36959,0
57,7597,27214,1857,44396,206,25130,37967,13020,5,13766,216,3,-1,36959,0
